"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 03 12:54:40 TRT 2023","Tue Oct 03 12:54:41 TRT 2023","1129","login","err on login","","","","03. should do smth",""
"passed","Tue Oct 03 12:54:34 TRT 2023","Tue Oct 03 12:54:34 TRT 2023","32","demo spec","","","","","02. should do more",""
"passed","Tue Oct 03 12:54:39 TRT 2023","Tue Oct 03 12:54:40 TRT 2023","389","login","","","","","01. should login",""
"passed","Tue Oct 03 12:54:34 TRT 2023","Tue Oct 03 12:54:34 TRT 2023","78","demo spec","","","","","01. should do smth",""
"passed","Tue Oct 03 12:54:40 TRT 2023","Tue Oct 03 12:54:40 TRT 2023","243","login","err on login","","","","02. should have error on login",""
